ons_id,name,region_name,electorate,result,leave,turnout,votes_cast,var1,var2,var3,var4,var5,var6,var7,var8,var9
W06000004,Denbighshire,Wales,75362,leave,54,69.1,52108,26.3,21,23.4,64.7,24.2,435.3,43.1,24.5,16.1
W06000005,Flintshire,Wales,115964,leave,56.4,74.9,86854,58,24,13.6,53.6,22.4,528.3,68,20.7,13.6
W06000006,Wrexham,Wales,98384,leave,59,71.6,70407,9.2,25.4,31.1,63.8,22.8,487.6,39.7,24.3,14.3
W06000008,Ceredigion,Wales,53400,remain,45.4,74.5,39772,25.6,17.6,15.9,7.2,27.9,423.7,30,26.3,16.7
W06000009,Pembrokeshire,Wales,92155,leave,57.1,74.4,68555,27.4,20.5,3.8,47.9,24.8,464.8,24.5,27.2,13.1
W06000010,Carmarthenshire,Wales,139227,leave,53.7,74.1,103126,10.6,21.7,61.5,24.8,23.9,464.2,55.9,26.7,15.1
W06000011,Swansea,Wales,172941,leave,51.5,69.6,120362,60.7,24.7,44.8,60.7,25.8,485.1,68.5,19.2,17.2
W06000012,Neath Port Talbot,Wales,105766,leave,56.8,71.6,75694,8.3,24.6,14.7,22.9,18.8,486,21.5,23,12.9
W06000013,Bridgend,Wales,104492,leave,54.6,71.2,74378,19.1,25,42.3,42.3,22.6,500,64,20.9,15
W06000014,Vale of Glamorgan,Wales,95011,remain,49.3,76.2,72348,15.9,23.6,47.5,30.5,29.8,522.2,59.1,16.4,18.3
W06000015,Cardiff,Wales,243689,remain,40,69.7,169745,13.8,28.3,30.1,9.8,32.3,510.2,4.6,15.1,22.5
W06000016,Rhondda Cynon Taf,Wales,172890,leave,53.7,67.5,116645,52.8,25.1,7,44.6,19.6,469,8,23.2,13.9
W06000018,Caerphilly,Wales,130801,leave,57.6,70.7,92525,50.6,25.3,48.1,60.1,18.7,478.3,10.3,23.9,12.7
W06000019,Blaenau Gwent,Wales,51136,leave,62,68.1,34812,58.1,24.6,64.7,20.5,15.2,403.4,59.5,30,10.9
W06000020,Torfaen,Wales,68957,leave,59.8,69.9,48172,55.1,23.8,43.9,38.4,20.3,485.1,44.9,24.7,12.7
W06000021,Monmouthshire,Wales,71607,remain,49.6,77.7,55670,31.7,19.9,24.8,9,33.1,610.1,36.3,19,20.3
W06000022,Newport,Wales,104977,leave,56,70.2,73708,31.7,25.5,30.6,63.5,23.4,456.8,45.3,19.7,15.2
W06000023,Powys,Wales,103270,leave,53.7,77,79515,68,19.4,46.1,33.7,26.3,461.1,40.7,26.4,14.1
W06000024,Merthyr Tydfil,Wales,42855,leave,56.4,67.4,28881,8.9,25.4,19.3,24.8,17.8,426.2,23.4,24.3,12.7
